Date,"Weight (kg)","Fat mass (kg)","Bone mass (kg)","Muscle mass (kg)","Hydration (kg)",Comments
"2021-08-30 08:08:02",91.78,21.26,3.47,67.03,47.27,
"2021-08-30 07:57:02",92.18,21.42,3.48,67.26,47.46,
"2021-08-19 07:43:09",91.18,21.22,3.45,66.51,46.87,
"2021-08-10 07:12:36",91.55,21.68,3.44,66.42,46.85,
"2021-08-05 19:49:40",92.26,,,,,
"2021-07-29 07:35:27",90.91,20.04,3.49,67.36,47.44,
"2021-07-27 07:50:47",90.86,19.64,3.51,67.69,47.68,
"2021-07-23 07:57:24",91.65,20.50,3.51,67.63,47.68,
"2021-07-21 07:50:15",91.70,21.37,3.46,66.85,47.15,
"2021-07-12 07:26:38",91.11,21.15,3.45,66.50,46.86,
"2021-06-29 07:10:17",90.15,19.47,3.49,67.18,47.27,
"2021-06-26 07:00:27",91.25,21.15,3.45,66.63,46.96,
"2021-06-11 06:37:04",90.99,20.09,3.50,67.39,47.47,
"2021-06-11 06:36:32",91.37,20.19,3.51,67.66,47.69,
"2021-06-04 07:17:49",90.56,19.45,3.51,67.59,47.60,
"2021-05-31 07:17:29",90.63,20.71,3.44,66.46,46.80,
"2021-05-27 08:03:41",89.09,20.47,3.38,65.21,45.82,
"2021-05-21 07:23:37",89.44,20.10,3.42,65.90,46.31,
"2021-05-11 07:56:46",90.70,20.18,3.48,67.03,47.20,
"2021-05-09 09:10:10",90.10,20.26,3.44,66.38,46.70,
"2021-05-04 07:57:59",90.04,19.46,3.48,67.08,47.19,
"2021-04-29 07:28:14",89.33,19.28,3.45,66.58,46.79,
"2021-04-27 07:05:08",88.73,20.06,3.39,65.27,45.83,
"2021-04-23 07:10:07",88.99,19.84,3.41,65.73,46.16,
"2021-04-20 07:16:40",88.73,19.10,3.43,66.19,46.47,
"2021-04-14 07:27:32",89.07,19.94,3.41,65.71,46.15,
"2021-04-11 08:27:11",88.41,20.06,3.37,64.96,45.59,
"2021-04-08 08:03:20",88.27,20.20,3.36,64.70,45.41,
"2021-04-06 07:41:44",88.77,19.75,3.40,65.60,46.05,
"2021-04-02 08:22:17",87.78,19.45,3.37,64.94,45.52,
"2021-03-31 08:04:59",88.67,18.84,3.44,66.37,46.60,
"2021-03-29 08:05:25",88.06,19.87,3.36,64.81,45.46,
"2021-03-26 08:07:18",88.83,19.04,3.44,66.33,46.58,
"2021-03-23 08:05:15",88.54,19.44,3.41,65.67,46.09,
"2021-03-20 07:55:27",88.00,,,,,
"2021-03-16 07:23:08",88.83,19.07,3.44,66.30,46.56,
"2021-03-14 08:43:16",87.94,19.24,3.39,65.30,45.79,
"2021-03-08 07:38:39",88.67,19.75,3.40,65.51,45.99,
"2021-03-03 07:53:57",88.12,19.37,3.39,65.34,45.83,
"2021-03-02 08:04:31",87.99,19.81,3.36,64.81,45.45,
"2021-02-25 07:49:46",87.84,18.35,3.43,66.04,46.33,
"2021-02-21 08:29:23",88.29,19.21,3.41,65.65,46.06,
"2021-02-18 08:03:58",87.42,18.29,3.41,65.71,46.05,
"2021-02-16 08:04:33",86.91,19.20,3.34,64.35,45.04,
"2021-02-14 08:26:16",88.00,19.68,3.37,64.94,45.54,
"2021-02-13 08:15:18",87.77,19.22,3.38,65.16,45.67,
"2021-02-09 07:30:18",87.68,19.31,3.37,64.98,45.55,
"2021-02-05 07:21:41",88.10,18.98,3.41,65.70,46.08,
"2021-02-04 07:22:50",87.26,19.51,3.34,64.40,45.11,
"2021-01-31 08:44:32",87.92,19.82,3.36,64.73,45.39,
"2021-01-30 08:28:07",87.66,19.82,3.35,64.48,45.20,
"2021-01-29 07:59:39",87.62,19.46,3.36,64.78,45.40,
"2021-01-26 08:19:51",87.26,19.34,3.35,64.55,45.21,
"2021-01-25 07:55:04",88.72,20.11,3.38,65.21,45.79,
"2021-01-24 08:38:39",89.02,19.50,3.43,66.08,46.41,
"2021-01-23 09:00:57",88.34,19.24,3.41,65.68,46.08,
"2021-01-21 08:02:48",87.98,18.73,3.42,65.82,46.17,
"2021-01-19 07:48:39",87.50,19.06,3.38,65.05,45.58,
"2021-01-17 08:22:45",87.07,19.60,3.33,64.13,44.92,
"2021-01-15 07:54:43",87.63,19.03,3.38,65.20,45.70,
"2021-01-14 07:47:21",87.49,18.89,3.38,65.20,45.69,
"2021-01-13 08:02:01",87.92,19.21,3.39,65.30,45.79,
"2021-01-12 07:45:27",87.55,18.61,3.40,65.52,45.93,
"2021-01-11 07:39:13",88.08,18.85,3.41,65.81,46.16,
"2021-01-09 08:23:51",87.42,19.46,3.35,64.59,45.26,
"2021-01-08 07:51:29",88.52,18.53,3.45,66.52,46.72,
"2021-01-07 07:39:42",88.74,18.44,3.47,66.81,46.95,
"2021-01-05 08:15:08",87.47,19.42,3.36,64.68,45.32,
"2021-01-02 08:10:10",88.75,18.74,3.45,66.54,46.74,
"2020-12-31 08:56:45",87.85,18.70,3.41,65.72,46.09,
"2020-12-30 08:32:49",87.82,18.92,3.40,65.48,45.92,
"2020-12-29 08:43:56",88.45,19.52,3.40,65.52,45.98,
"2020-12-28 08:53:51",88.77,19.22,3.43,66.11,46.42,
"2020-12-27 08:13:59",87.61,19.33,3.37,64.90,45.49,
"2020-12-25 07:49:39",87.22,18.72,3.38,65.11,45.61,
"2020-12-23 07:01:53",87.06,18.20,3.40,65.45,45.85,
"2020-12-22 08:28:39",87.64,18.43,3.41,65.78,46.13,
"2020-12-21 08:32:20",87.49,17.88,3.44,66.16,46.41,
"2020-12-20 09:03:49",87.59,18.19,3.42,65.96,46.26,
"2020-12-19 08:13:17",86.67,18.11,3.38,65.16,45.61,
"2020-12-18 08:48:58",87.29,18.37,3.40,65.51,45.90,
"2020-12-16 08:00:54",87.77,17.92,3.45,66.39,46.60,
"2020-12-15 07:56:13",87.68,17.61,3.46,66.59,46.76,
"2020-12-14 08:00:15",87.17,17.69,3.43,66.03,46.31,
"2020-12-12 08:28:39",87.17,18.01,3.41,65.73,46.07,
"2020-12-11 08:06:58",86.60,18.64,3.35,64.59,45.19,
"2020-12-10 07:42:30",87.13,18.65,3.38,65.09,45.59,
"2020-12-09 07:12:59",87.73,18.01,3.44,66.26,46.50,
"2020-12-08 06:46:56",87.22,18.12,3.41,65.67,46.03,
"2020-12-07 07:30:54",87.34,18.13,3.41,65.78,46.11,
"2020-12-05 08:45:58",87.10,18.82,3.37,64.90,45.45,
"2020-12-03 07:26:43",86.51,18.75,3.34,64.40,45.06,
"2020-12-02 06:42:47",86.48,19.38,3.31,63.77,44.62,
"2020-12-01 07:00:48",86.53,19.27,3.32,63.93,44.73,
"2020-12-01 07:00:15",86.41,19.32,3.31,63.76,44.61,
"2020-11-30 07:16:47",87.18,18.67,3.38,65.11,45.61,
"2020-11-28 08:15:36",88.31,18.54,3.44,66.32,46.56,
"2020-11-27 07:19:06",88.60,18.58,3.45,66.55,46.75,
"2020-11-26 06:57:23",88.16,18.56,3.43,66.16,46.43,
"2020-11-25 06:38:25",87.41,19.29,3.36,64.75,45.37,
"2020-11-24 06:57:23",87.30,19.00,3.37,64.92,45.48,
"2020-11-23 06:56:12",87.49,18.83,3.39,65.26,45.74,
"2020-11-22 07:48:38",87.79,18.85,3.40,65.52,45.94,
"2020-11-21 07:56:57",87.78,18.60,3.41,65.75,46.11,
"2020-11-20 06:59:27",87.23,18.87,3.37,64.98,45.51,
"2020-11-19 06:21:56",88.13,19.55,3.38,65.18,45.73,
"2020-11-18 07:02:13",88.51,18.89,3.43,66.17,46.46,
"2020-11-15 08:00:17",88.20,19.11,3.41,65.66,46.07,
"2020-11-14 08:39:04",87.69,18.66,3.40,65.62,46.01,
"2020-11-13 07:53:42",87.72,19.08,3.38,65.24,45.74,
"2020-11-12 07:10:32",87.69,18.82,3.40,65.46,45.89,
"2020-11-11 07:10:56",87.32,19.02,3.37,64.92,45.48,
"2020-11-10 06:58:35",88.10,19.49,3.38,65.21,45.75,
"2020-11-09 06:56:18",88.40,19.43,3.40,65.55,46.01,
"2020-11-08 07:54:26",87.14,18.57,3.38,65.18,45.65,
"2020-11-07 07:18:22",87.41,17.69,3.44,66.26,46.50,
"2020-11-06 07:01:54",87.41,18.33,3.41,65.66,46.03,
"2020-11-05 06:55:21",87.25,19.00,3.37,64.87,45.44,
"2020-11-04 07:05:24",87.90,18.89,3.40,65.59,46.00,
"2020-11-03 06:41:22",87.31,18.69,3.38,65.22,45.69,
"2020-11-02 07:04:29",87.64,18.78,3.40,65.45,45.88,
"2020-11-01 07:41:24",87.21,18.61,3.38,65.19,45.67,
"2020-10-31 07:25:01",87.64,18.98,3.39,65.26,45.75,
"2020-10-30 06:48:19",87.95,18.56,3.42,65.95,46.27,
"2020-10-29 06:44:31",87.57,18.37,3.41,65.78,46.12,
"2020-10-28 06:53:21",87.84,18.59,3.42,65.82,46.16,
"2020-10-27 06:40:03",87.43,18.22,3.41,65.79,46.13,
"2020-10-26 06:37:49",87.08,18.15,3.40,65.51,45.90,
"2020-10-25 07:15:35",86.85,18.34,3.38,65.12,45.59,
"2020-10-24 07:38:54",87.61,,,,,
"2020-10-24 07:38:24",87.61,18.58,3.40,65.61,46.00,
"2020-10-23 07:25:39",86.67,17.90,3.39,65.36,45.77,
"2020-10-22 06:37:03",87.46,17.91,3.43,66.10,46.37,
"2020-10-21 07:16:16",87.16,18.14,3.41,65.60,45.98,
"2020-10-20 06:55:16",86.97,18.27,3.39,65.30,45.73,
"2020-10-19 06:58:08",87.77,18.86,3.40,65.49,45.92,
"2020-10-18 07:59:43",87.27,18.69,3.38,65.18,45.67,
"2020-10-17 07:39:51",86.98,17.92,3.41,65.63,45.99,
"2020-10-16 07:19:50",87.17,18.73,3.38,65.04,45.56,
"2020-10-15 07:01:02",87.07,19.13,3.35,64.57,45.22,
"2020-10-14 07:06:30",86.93,18.55,3.37,64.99,45.50,
"2020-10-13 07:05:54",87.28,18.46,3.39,65.41,45.84,
"2020-10-12 07:27:12",87.73,18.23,3.43,66.06,46.34,
"2020-10-11 06:50:05",88.57,18.88,3.44,66.24,46.51,
"2020-10-10 07:20:33",87.91,18.24,3.44,66.22,46.47,
"2020-10-09 06:35:16",87.31,18.56,3.39,65.34,45.79,
"2020-10-08 06:56:29",87.63,19.08,3.38,65.15,45.67,
"2020-10-07 06:44:53",87.57,19.03,3.38,65.14,45.66,
"2020-10-07 06:44:22",87.71,19.06,3.39,65.25,45.74,
"2020-10-06 06:58:10",87.09,18.95,3.36,64.77,45.36,
"2020-10-05 07:00:05",87.50,19.02,3.38,65.08,45.61,
"2020-10-03 07:46:09",88.06,19.69,3.37,64.98,45.59,
"2020-10-02 06:56:20",88.32,19.40,3.40,65.51,45.97,
"2020-10-01 06:19:42",88.16,19.28,3.40,65.47,45.93,
"2020-09-30 06:18:17",88.50,19.41,3.41,65.67,46.10,
"2020-09-29 07:18:04",88.97,19.73,3.41,65.82,46.24,
"2020-09-28 07:58:59",88.89,19.79,3.41,65.68,46.13,
"2020-09-27 07:28:41",89.25,19.34,3.45,66.45,46.70,
"2020-09-25 07:11:26",88.82,19.02,3.44,66.34,46.60,
"2020-09-24 07:03:57",89.21,20.54,3.38,65.26,45.89,
"2020-09-23 06:35:02",89.35,20.18,3.41,65.74,46.21,
"2020-09-22 06:52:25",88.68,19.46,3.41,65.80,46.20,
"2020-09-21 06:40:20",89.07,19.96,3.41,65.69,46.16,
"2020-09-20 07:12:55",89.43,20.15,3.41,65.85,46.30,
"2020-09-19 07:52:59",89.92,19.39,3.48,67.04,47.17,
"2020-09-18 07:05:58",89.02,20.09,3.40,65.52,46.04,
"2020-09-17 07:35:01",88.31,18.89,3.42,65.98,46.32,
"2020-09-16 07:22:05",88.40,20.98,3.33,64.08,45.05,
"2020-09-14 06:40:48",90.37,20.25,3.45,66.65,46.92,
"2020-09-13 06:53:45",91.10,21.09,3.45,66.55,46.92,
"2020-09-12 07:27:05",91.45,20.80,3.48,67.15,47.35,
"2020-09-12 07:26:35",91.61,21.39,3.46,66.75,47.10,
"2020-09-11 06:33:05",90.63,20.36,3.46,66.79,47.04,
"2020-09-10 06:24:42",90.79,20.57,3.46,66.74,47.02,
"2020-09-09 06:21:00",90.58,19.96,3.48,67.12,47.27,
"2020-09-08 06:17:21",90.90,21.42,3.42,66.03,46.56,
"2020-09-08 06:16:51",90.89,21.19,3.43,66.25,46.70,
"2020-09-07 06:32:58",90.79,20.44,3.47,66.87,47.11,
"2020-09-06 07:32:38",91.04,21.27,3.44,66.32,46.76,
"2020-09-05 07:26:57",90.67,21.11,3.43,66.12,46.59,
"2020-09-04 06:25:13",91.11,21.23,3.44,66.42,46.84,
"2020-09-03 06:44:35",91.25,21.30,3.45,66.50,46.90,
"2020-09-02 06:23:38",91.20,21.67,3.43,66.09,46.64,
"2020-09-01 06:18:33",91.42,22.02,3.42,65.96,46.58,
"2020-08-31 06:53:50",92.03,21.90,3.45,66.66,47.08,
"2020-08-30 07:32:24",92.02,21.99,3.45,66.57,47.02,
"2020-08-28 07:08:11",92.92,20.66,3.56,68.68,48.52,
"2020-08-27 07:10:17",91.81,21.78,3.45,66.57,47.00,
"2020-08-26 06:45:30",92.14,22.84,3.41,65.87,46.62,
"2020-08-25 19:48:30",93.28,,,,,
"2020-08-25 06:58:50",92.04,23.55,3.38,65.09,46.34,
"2020-08-24 07:02:28",93.28,22.63,3.48,67.16,47.72,
"2020-08-23 08:54:45",93.05,21.95,3.50,67.59,47.97,
"2020-08-22 08:40:08",91.55,22.33,3.41,65.79,46.67,
"2020-08-20 07:19:20",92.87,23.35,3.43,66.07,47.02,
"2020-08-18 07:25:39",92.28,22.63,3.43,66.20,47.01,
"2020-08-17 07:02:35",92.40,21.94,3.47,66.98,47.51,
"2020-08-14 06:58:06",92.08,22.26,3.44,66.36,47.09,
"2020-08-12 06:54:33",92.65,22.52,3.46,66.66,47.34,
"2020-08-11 06:56:11",92.60,21.98,3.48,67.12,47.62,
"2020-08-10 07:46:46",92.71,22.67,3.45,66.58,47.30,
"2020-08-09 07:32:26",92.51,21.76,3.49,67.24,47.69,
"2020-08-08 07:33:11",91.85,22.80,3.41,65.63,46.62,
"2020-08-07 06:56:02",93.02,22.76,3.46,66.78,47.46,
"2020-08-06 07:34:21",92.30,24.15,3.37,64.77,46.21,
"2020-08-05 06:56:08",93.20,24.07,3.41,65.71,46.86,
"2020-08-04 06:53:58",93.54,23.03,3.47,67.03,47.67,
"2020-08-02 07:45:04",93.42,23.44,3.45,66.52,47.35,
"2020-07-31 07:37:23",92.87,23.34,3.43,66.08,47.03,
"2020-07-30 11:53:10",92.13,23.08,3.41,65.63,46.66,
"2020-07-29 07:20:07",92.42,23.86,3.38,65.16,46.44,
"2020-07-28 07:18:58",93.65,23.78,3.44,66.41,47.32,
"2020-07-27 07:10:01",94.58,22.75,3.54,68.28,48.56,
"2020-07-26 07:45:35",94.55,22.52,3.55,68.47,48.68,
"2020-07-24 07:09:50",92.55,22.49,3.45,66.59,47.29,
"2020-07-23 07:16:52",92.08,22.02,3.45,66.59,47.23,
"2020-07-22 07:02:07",92.70,23.35,3.42,65.91,46.90,
"2020-07-21 07:19:10",93.66,23.79,3.44,66.41,47.32,
"2020-07-20 07:25:12",94.06,23.70,3.47,66.88,47.64,
"2020-07-20 07:11:11",94.09,23.05,3.50,67.53,48.04,
"2020-07-19 07:05:52",93.85,23.89,3.45,66.50,47.40,
"2020-07-18 07:37:52",92.96,24.87,3.37,64.71,46.29,
"2020-07-17 06:57:03",93.37,24.72,3.39,65.25,46.64,
"2020-07-16 07:12:44",93.28,24.79,3.38,65.09,46.54,
"2020-07-15 07:08:10",95.13,24.31,3.49,67.32,48.05,
"2020-07-14 07:04:06",94.00,23.91,3.45,66.62,47.49,
"2020-07-14 07:03:45",93.96,,,,,
"2020-07-14 07:03:24",93.98,,,,,
"2020-07-13 07:24:25",93.62,23.60,3.45,66.55,47.40,
"2020-07-12 07:10:37",93.43,24.67,3.39,65.35,46.71,
"2020-07-11 07:49:21",93.26,23.86,3.42,65.97,47.02,
"2020-07-10 07:14:54",93.20,21.89,3.51,67.79,48.12,
"2020-07-09 08:07:29",94.45,22.11,3.56,68.76,48.87,
"2020-07-08 07:23:52",94.23,23.25,3.50,67.47,48.02,
"2020-07-07 06:26:20",94.45,24.22,3.46,66.76,47.63,
"2020-07-06 07:12:27",94.22,24.34,3.44,66.42,47.41,
"2020-07-03 07:08:33",94.57,,,,,
"2020-07-03 07:07:56",94.60,23.76,3.49,67.34,47.99,
"2020-07-02 07:17:48",93.23,23.32,3.45,66.45,47.29,
"2020-07-01 07:23:58",93.38,23.70,3.43,66.23,47.18,
"2020-06-30 07:07:57",93.94,23.95,3.45,66.52,47.43,
"2020-06-29 07:05:16",93.89,23.50,3.47,66.91,47.64,
"2020-06-28 06:56:00",93.34,24.17,3.41,65.74,46.90,
"2020-06-27 07:34:44",93.69,23.80,3.44,66.43,47.34,
"2020-06-26 07:12:38",93.20,24.76,3.38,65.04,46.51,
"2020-06-25 07:19:18",94.00,22.76,3.51,67.72,48.15,
"2020-06-24 07:03:20",94.14,22.97,3.50,67.65,48.12,
"2020-06-23 07:29:44",93.95,23.65,3.46,66.82,47.60,
"2020-06-22 07:06:30",94.12,23.95,3.46,66.70,47.56,
"2020-06-21 07:41:49",94.14,23.49,3.48,67.15,47.82,
"2020-06-21 07:41:20",94.38,23.95,3.47,66.95,47.73,
"2020-06-20 07:28:54",93.81,23.69,3.45,66.65,47.48,
"2020-06-19 07:31:19",94.50,24.57,3.45,66.46,47.48,
"2020-06-18 07:06:00",93.83,22.68,3.50,67.63,48.08,
"2020-06-17 07:05:40",94.40,24.76,3.43,66.20,47.32,
"2020-06-14 18:37:18",94.21,22.81,3.52,67.86,48.26,
"2020-01-02 19:19:50",92.48,,,,,
"2019-08-15 06:43:51",93.76,,,,,
"2019-08-14 19:39:13",93.72,21.20,3.58,68.93,48.95,
"2019-08-05 06:26:06",94.13,,,,,
"2019-08-03 07:14:54",93.35,,,,,
"2019-06-15 06:18:43",93.17,22.40,3.49,67.27,47.81,
"2019-05-14 06:18:57",92.82,22.76,3.45,66.59,47.36,
"2019-05-12 07:57:24",93.34,24.15,3.41,65.77,46.96,
"2019-04-30 06:19:22",93.36,23.30,3.45,66.59,47.43,
"2019-04-27 08:00:36",93.13,22.50,3.48,67.14,47.73,
"2019-04-26 06:12:13",92.73,22.78,3.45,66.49,47.29,
"2019-04-24 06:17:56",93.25,23.60,3.43,66.20,47.19,
"2019-04-23 06:05:06",93.96,,,,,
"2019-04-22 23:05:00",93.99,22.40,3.53,68.05,48.39,
"2019-04-22 23:04:00",94.10,22.96,3.50,67.63,48.14,
"2019-04-03 06:26:26",93.64,23.92,3.44,66.26,47.28,
"2019-04-01 06:28:27",94.08,21.95,3.55,68.56,48.73,
"2019-03-30 06:14:51",92.80,22.59,3.46,66.74,47.45,
"2019-03-27 06:15:02",94.22,23.94,3.46,66.80,47.67,
"2019-03-21 06:40:50",94.85,,,,,
"2019-03-19 06:21:55",94.15,,,,,
"2019-03-18 06:16:06",94.45,,,,,
"2019-02-24 08:16:29",94.95,,,,,
"2019-02-22 06:37:51",93.63,27.90,3.28,62.43,45.43,
"2019-02-19 06:10:36",93.30,21.66,3.53,68.10,48.36,
"2019-02-10 06:44:26",93.95,,,,,
"2019-01-29 06:36:24",94.97,,,,,
"2019-01-27 07:50:40",94.65,23.26,3.51,67.86,48.35,
"2019-01-13 06:37:25",95.87,24.73,3.50,67.62,48.37,
"2019-01-10 06:14:12",95.21,,,,,
"2019-01-02 06:57:00",94.01,23.83,3.46,66.70,47.59,
"2019-01-01 08:08:38",93.98,23.55,3.47,66.94,47.73,
"2018-12-31 09:55:36",94.20,22.37,3.54,68.28,48.56,
"2018-12-28 07:18:43",94.14,22.95,3.50,67.67,48.18,
"2018-12-21 06:52:50",93.53,23.85,3.43,66.23,47.26,
"2018-12-18 07:02:59",93.70,,,,,
"2018-12-17 07:01:53",94.12,,,,,
"2018-12-11 07:13:16",93.68,23.05,3.48,67.14,47.80,
"2018-12-11 07:06:49",93.79,,,,,
"2018-12-10 06:56:21",94.34,17.39,3.86,73.07,52.45,
"2018-12-09 07:39:24",93.84,,,,,
"2018-11-19 06:35:28",92.83,,,,,
"2018-11-15 06:55:40",91.22,22.19,3.40,65.61,46.59,
"2018-11-11 07:01:05",91.79,16.12,3.80,71.85,51.61,
"2018-11-05 06:32:56",92.25,22.30,3.45,66.49,47.24,
"2018-10-12 06:29:42",89.97,21.17,3.39,65.38,46.30,
"2018-10-11 06:37:16",89.68,21.43,3.37,64.86,45.94,
"2018-10-05 06:43:11",90.60,,,,,
"2018-09-20 06:51:03",89.90,,,,,
"2018-09-20 06:50:36",90.14,21.98,3.36,64.78,45.96,
"2018-09-16 08:22:20",91.02,,,,,
"2018-09-11 06:21:27",90.16,22.17,3.36,64.61,45.86,
"2018-09-02 07:00:53",92.08,,,,,
"2018-08-29 06:45:18",90.58,22.02,3.38,65.16,46.24,
"2018-08-25 08:05:23",91.95,20.98,3.50,67.46,47.84,
"2018-08-22 07:39:19",90.94,21.43,3.43,66.07,46.84,
"2018-08-15 06:54:08",90.37,20.88,3.43,66.05,46.77,
"2018-08-12 06:35:48",91.44,21.72,3.44,66.27,47.02,
"2018-08-10 06:32:09",90.34,19.58,3.49,67.26,47.59,
"2018-08-09 06:33:25",90.65,20.87,3.44,66.33,46.98,
